Time (s),Displacement (in),Load (lbs),Gauge Strain (in/in),Hybrid Strain (in/in),Engineering Stress (psi),Temp (C),Angle (deg)
96.512,0.01782,356.89745,0.00101,0.00101,7329.17103,412.78,0.0
98.945,0.01802,364.23354,0.00111,0.00111,7479.82395,412.78,0.0
101.261,0.01821,370.61606,0.00121,0.00121,7610.89369,412.78,0.0
103.483,0.0184,376.81768,0.00131,0.00131,7738.24875,412.78,0.0
105.716,0.01858,382.51763,0.00141,0.00141,7855.30182,412.78,0.0
107.884,0.01877,388.13974,0.00151,0.00151,7970.75648,412.78,0.0
109.92,0.01893,392.87209,0.00161,0.00161,8067.93869,412.78,0.0
111.915,0.0191,397.57214,0.00171,0.00171,8164.45807,412.78,0.0
113.902,0.01927,402.07315,0.00181,0.00181,8256.88985,412.78,0.0
115.869,0.01943,406.45094,0.00191,0.00191,8346.79151,412.78,0.0
117.82,0.01959,410.64714,0.00201,0.00201,8432.96354,412.78,0.0
119.716,0.01975,414.90564,0.00211,0.00211,8520.41529,412.78,0.0
121.617,0.01991,418.73755,0.00221,0.00221,8599.10649,412.78,0.0
123.624,0.02008,422.82406,0.00231,0.00231,8683.02614,412.78,0.0
125.552,0.02024,426.73199,0.00241,0.00241,8763.27868,412.78,0.0
127.385,0.02039,430.3297,0.00251,0.00251,8837.16026,412.78,0.0
129.023,0.02053,432.78116,0.00261,0.00261,8887.50331,412.78,0.0
130.917,0.02068,437.15322,0.00271,0.00271,8977.28711,412.78,0.0
132.673,0.02083,439.71039,0.00281,0.00281,9029.80066,412.78,0.0
134.523,0.02098,442.15138,0.00291,0.00291,9079.92793,412.78,0.0
136.455,0.02115,446.20954,0.00301,0.00301,9163.26553,412.78,0.0
138.226,0.02129,449.20574,0.00311,0.00311,9224.79525,412.78,0.0
139.901,0.02143,451.52579,0.00321,0.00321,9272.43886,412.78,0.0
141.677,0.02158,455.10566,0.00331,0.00331,9345.95473,412.78,0.0
143.375,0.02172,457.81819,0.00341,0.00341,9401.65846,412.78,0.0
145.667,0.02191,462.04765,0.00351,0.00351,9488.51378,412.78,0.0
147.475,0.02206,463.76237,0.00361,0.00361,9523.72642,412.78,0.0
148.894,0.02218,465.4402,0.00371,0.00371,9558.18217,412.78,0.0
150.635,0.02233,469.51722,0.00381,0.00381,9641.90707,412.78,0.0
152.227,0.02246,472.36548,0.00391,0.00391,9700.39819,412.78,0.0
153.766,0.02259,474.52049,0.00401,0.00401,9744.65355,412.78,0.0
155.457,0.02273,477.58181,0.00411,0.00411,9807.51998,412.78,0.0
157.105,0.02287,479.5918,0.00421,0.00421,9848.79651,412.78,0.0
159.123,0.02304,482.55576,0.00431,0.00431,9909.6634,412.78,0.0
161.511,0.02323,486.62993,0.00441,0.00441,9993.32965,412.78,0.0
