Time (s),Displacement (in),Load (lbs),Gauge Strain (in/in),Hybrid Strain (in/in),Engineering Stress (psi),Temp (C),Angle (deg)
91.279,0.01362,360.18561,0.00033,0.00033,7337.64,25.0,45.0
93.001,0.01376,370.18609,0.00034,0.00034,7541.37,25.0,45.0
94.722,0.0139,380.18787,0.00037,0.00037,7745.12,25.0,45.0
96.368,0.01404,390.18832,0.00038,0.00038,7948.85,25.0,45.0
98.073,0.01418,400.2014,0.0004,0.0004,8152.84,25.0,45.0
99.716,0.01432,410.20513,0.00042,0.00042,8356.63,25.0,45.0
101.337,0.01445,420.21028,0.00044,0.00044,8560.45,25.0,45.0
103.028,0.01459,430.21877,0.00045,0.00045,8764.35,25.0,45.0
104.621,0.01473,440.22121,0.00047,0.00047,8968.11,25.0,45.0
106.219,0.01486,450.22479,0.00049,0.00049,9171.9,25.0,45.0
107.837,0.015,460.22937,0.0005,0.0005,9375.72,25.0,45.0
109.375,0.01512,470.2321,0.00052,0.00052,9579.49,25.0,45.0
110.976,0.01526,480.23527,0.00054,0.00054,9783.27,25.0,45.0
112.568,0.01539,490.24624,0.00056,0.00056,9987.21,25.0,45.0
114.084,0.01552,500.2526,0.00057,0.00057,10191.06,25.0,45.0
115.622,0.01564,510.25671,0.0006,0.0006,10394.86,25.0,45.0
117.138,0.01577,520.26383,0.00061,0.00061,10598.73,25.0,45.0
118.653,0.0159,530.26668,0.00063,0.00063,10802.5,25.0,45.0
120.179,0.01602,540.26755,0.00065,0.00065,11006.24,25.0,45.0
121.694,0.01615,550.26765,0.00067,0.00067,11209.96,25.0,45.0
123.21,0.01628,560.2717,0.00068,0.00068,11413.76,25.0,45.0
124.698,0.0164,570.27273,0.0007,0.0007,11617.5,25.0,45.0
126.189,0.01653,580.28425,0.00072,0.00072,11821.45,25.0,45.0
127.698,0.01665,590.2861,0.00074,0.00074,12025.21,25.0,45.0
129.118,0.01677,600.29674,0.00076,0.00076,12229.14,25.0,45.0
130.623,0.01689,610.30184,0.00078,0.00078,12432.97,25.0,45.0
132.121,0.01702,620.30243,0.0008,0.0008,12636.7,25.0,45.0
133.545,0.01714,630.30879,0.00082,0.00082,12840.55,25.0,45.0
134.979,0.01726,640.31471,0.00084,0.00084,13044.38,25.0,45.0
136.458,0.01738,650.31799,0.00085,0.00085,13248.17,25.0,45.0
137.874,0.0175,660.32912,0.00087,0.00087,13452.12,25.0,45.0
139.301,0.01762,670.34113,0.00089,0.00089,13656.08,25.0,45.0
140.703,0.01774,680.3414,0.0009,0.0009,13859.8,25.0,45.0
142.168,0.01786,690.34155,0.00093,0.00093,14063.52,25.0,45.0
143.588,0.01797,700.35647,0.00095,0.00095,14267.55,25.0,45.0
144.974,0.01809,710.36415,0.00097,0.00097,14471.42,25.0,45.0
146.365,0.01821,720.37045,0.00098,0.00098,14675.27,25.0,45.0
147.763,0.01832,730.37252,0.001,0.001,14879.03,25.0,45.0
149.136,0.01844,740.37658,0.00103,0.00103,15082.83,25.0,45.0
150.511,0.01855,750.39139,0.00104,0.00104,15286.85,25.0,45.0
151.902,0.01867,760.39302,0.00106,0.00106,15490.6,25.0,45.0
153.289,0.01878,770.39856,0.00107,0.00107,15694.43,25.0,45.0
154.663,0.0189,780.40266,0.00109,0.00109,15898.23,25.0,45.0
155.99,0.01901,790.4077,0.00112,0.00112,16102.05,25.0,45.0
157.361,0.01912,800.41357,0.00114,0.00114,16305.89,25.0,45.0
158.663,0.01923,810.4242,0.00115,0.00115,16509.83,25.0,45.0
160.043,0.01935,820.43567,0.00117,0.00117,16713.78,25.0,45.0
