Time (s),Displacement (in),Load (lbs),Gauge Strain (in/in),Hybrid Strain (in/in),Engineering Stress (psi),Temp (C),Angle (deg)
71.253,0.0076,360.16761,0.00058,0.00058,7221.27189,25.0,0.0
72.747,0.00772,370.17136,0.0006,0.0006,7421.8446,25.0,0.0
74.297,0.00785,380.17491,0.00062,0.00062,7622.41343,25.0,0.0
75.791,0.00798,390.18421,0.00064,0.00064,7823.09734,25.0,0.0
77.269,0.0081,400.18708,0.00066,0.00066,8023.65234,25.0,0.0
78.84,0.00823,410.18921,0.00067,0.00067,8224.1924,25.0,0.0
80.314,0.00835,420.20117,0.00069,0.00069,8424.92998,25.0,0.0
81.796,0.00848,430.20659,0.00071,0.00071,8625.53589,25.0,0.0
83.355,0.00861,440.21125,0.00072,0.00072,8826.12685,25.0,0.0
84.763,0.00872,450.21379,0.00074,0.00074,9026.67521,25.0,0.0
86.234,0.00885,460.22396,0.00076,0.00076,9227.37683,25.0,0.0
87.709,0.00897,470.23627,0.00077,0.00077,9428.1216,25.0,0.0
89.167,0.00909,480.24164,0.0008,0.0008,9628.72695,25.0,0.0
90.636,0.00921,490.24707,0.00082,0.00082,9829.3323,25.0,0.0
92.104,0.00934,500.25567,0.00083,0.00083,10030.00293,25.0,0.0
93.491,0.00945,510.26379,0.0009,0.0009,10230.66361,25.0,0.0
94.961,0.00957,520.27914,0.0009,0.0009,10431.46813,25.0,0.0
96.399,0.00969,530.28797,0.00089,0.00089,10632.14319,25.0,0.0
97.777,0.00981,540.29543,0.0009,0.0009,10832.79059,25.0,0.0
99.225,0.00993,550.30392,0.00092,0.00092,11033.4579,25.0,0.0
100.586,0.01004,560.3127,0.00094,0.00094,11234.13186,25.0,0.0
102.026,0.01016,570.32427,0.00096,0.00096,11434.86114,25.0,0.0
103.403,0.01028,580.3348,0.00097,0.00097,11635.5694,25.0,0.0
104.76,0.01039,590.34071,0.00099,0.00099,11836.18581,25.0,0.0
106.172,0.01051,600.34356,0.00101,0.00101,12036.74026,25.0,0.0
107.543,0.01062,610.35557,0.00102,0.00102,12237.47839,25.0,0.0
108.881,0.01073,620.35825,0.00104,0.00104,12438.02952,25.0,0.0
110.233,0.01085,630.36208,0.00106,0.00106,12638.60388,25.0,0.0
111.588,0.01096,640.36509,0.00107,0.00107,12839.16165,25.0,0.0
112.927,0.01107,650.3805,0.00109,0.00109,13039.96839,25.0,0.0
114.266,0.01118,660.38269,0.00111,0.00111,13240.50956,25.0,0.0
115.612,0.01129,670.38938,0.00113,0.00113,13441.14146,25.0,0.0
116.936,0.01141,680.39101,0.00114,0.00114,13641.67156,25.0,0.0
