Time (s),Displacement (in),Load (lbs),Gauge Strain (in/in),Hybrid Strain (in/in),Engineering Stress (psi),Temp (C),Angle (deg)
69.288,0.0293,340.389,0.00064,0.00064,6824.71535,25.0,90.0
70.837,0.02942,350.40195,0.00065,0.00065,7025.47285,25.0,90.0
72.365,0.02955,360.40227,0.00067,0.00067,7225.97639,25.0,90.0
73.943,0.02968,370.41485,0.00069,0.00069,7426.7267,25.0,90.0
75.449,0.02981,380.4211,0.00071,0.00071,7627.3492,25.0,90.0
76.886,0.02993,390.42189,0.00073,0.00073,7827.8627,25.0,90.0
78.4,0.03005,400.42838,0.00075,0.00075,8028.49018,25.0,90.0
79.896,0.03018,410.43938,0.00076,0.00076,8229.20839,25.0,90.0
81.323,0.0303,420.45498,0.00078,0.00078,8430.01845,25.0,90.0
82.813,0.03042,430.4567,0.0008,0.0008,8630.55077,25.0,90.0
84.232,0.03054,440.46512,0.00082,0.00082,8831.21698,25.0,90.0
85.664,0.03066,450.4768,0.00084,0.00084,9031.94847,25.0,90.0
87.072,0.03078,460.48079,0.00086,0.00086,9232.52616,25.0,90.0
88.536,0.0309,470.48441,0.00088,0.00088,9433.09665,25.0,90.0
89.963,0.03102,480.49488,0.00089,0.00089,9633.8038,25.0,90.0
91.368,0.03114,490.49613,0.00091,0.00091,9834.32616,25.0,90.0
92.716,0.03125,500.49717,0.00093,0.00093,10034.84519,25.0,90.0
94.123,0.03136,510.50786,0.00095,0.00095,10235.55677,25.0,90.0
95.519,0.03148,520.52201,0.00097,0.00097,10436.33806,25.0,90.0
96.904,0.0316,530.52508,0.00098,0.00098,10636.89693,25.0,90.0
98.248,0.03171,540.5406,0.001,0.001,10837.70588,25.0,90.0
99.621,0.03182,550.54635,0.00103,0.00103,11038.31898,25.0,90.0
100.937,0.03193,560.55617,0.00105,0.00105,11239.01285,25.0,90.0
102.323,0.03205,570.56455,0.00106,0.00106,11439.67906,25.0,90.0
103.635,0.03216,580.56652,0.00108,0.00108,11640.2158,25.0,90.0
104.949,0.03227,590.57546,0.0011,0.0011,11840.89197,25.0,90.0
106.276,0.03238,600.57896,0.00112,0.00112,12041.45969,25.0,90.0
107.579,0.03249,610.59382,0.00114,0.00114,12242.25537,25.0,90.0
108.882,0.0326,620.59782,0.00115,0.00115,12442.83305,25.0,90.0
110.195,0.0327,630.60078,0.00117,0.00117,12643.38971,25.0,90.0
111.486,0.03281,640.61103,0.00119,0.00119,12844.09354,25.0,90.0
112.782,0.03292,650.6158,0.00121,0.00121,13044.68672,25.0,90.0
114.087,0.03303,660.6165,0.00123,0.00123,13245.19801,25.0,90.0
115.377,0.03314,670.62511,0.00125,0.00125,13445.86754,25.0,90.0
116.668,0.03324,680.63843,0.00127,0.00127,13646.63333,25.0,90.0
117.967,0.03335,690.6494,0.00129,0.00129,13847.35044,25.0,90.0
119.187,0.03345,700.65472,0.0013,0.0013,14047.95469,25.0,90.0
120.464,0.03356,710.6625,0.00133,0.00133,14248.60761,25.0,90.0
121.688,0.03366,720.67001,0.00134,0.00134,14449.25612,25.0,90.0
122.98,0.03377,730.67543,0.00136,0.00136,14649.86257,25.0,90.0
124.191,0.03387,740.68498,0.00138,0.00138,14850.55091,25.0,90.0
125.463,0.03398,750.68606,0.0014,0.0014,15051.06995,25.0,90.0
126.689,0.03408,760.6866,0.00142,0.00142,15251.57903,25.0,90.0
127.957,0.03418,770.70081,0.00144,0.00144,15452.36142,25.0,90.0
129.16,0.03429,780.70854,0.00146,0.00146,15653.01325,25.0,90.0
130.444,0.03439,790.72417,0.00147,0.00147,15853.82441,25.0,90.0
131.635,0.03449,800.72894,0.00149,0.00149,16054.41759,25.0,90.0
132.839,0.03459,810.73063,0.00152,0.00152,16254.9488,25.0,90.0
134.099,0.0347,820.74039,0.00153,0.00153,16455.64267,25.0,90.0
135.311,0.0348,830.75328,0.00155,0.00155,16656.39851,25.0,90.0
136.501,0.0349,840.76814,0.00157,0.00157,16857.19418,25.0,90.0
137.705,0.035,850.77356,0.00159,0.00159,17057.80064,25.0,90.0
138.914,0.0351,860.78025,0.00161,0.00161,17258.43144,25.0,90.0
140.11,0.0352,870.79171,0.00163,0.00163,17459.15961,25.0,90.0
141.301,0.0353,880.79994,0.00164,0.00164,17659.82139,25.0,90.0
142.504,0.0354,890.81464,0.00166,0.00166,17860.61375,25.0,90.0
143.701,0.0355,900.82011,0.00168,0.00168,18061.22131,25.0,90.0
144.885,0.0356,910.8324,0.0017,0.0017,18261.96497,25.0,90.0
146.077,0.03569,920.84611,0.00172,0.00172,18462.73741,25.0,90.0
147.26,0.03579,930.85395,0.00174,0.00174,18663.39145,25.0,90.0
148.367,0.03589,940.86585,0.00176,0.00176,18864.12848,25.0,90.0
149.55,0.03599,950.87984,0.00178,0.00178,19064.90534,25.0,90.0
150.798,0.03609,960.88811,0.00179,0.00179,19265.56933,25.0,90.0
151.907,0.03618,970.89705,0.00182,0.00182,19466.24661,25.0,90.0
153.076,0.03628,980.89984,0.00183,0.00183,19666.79995,25.0,90.0
154.262,0.03638,990.91558,0.00186,0.00186,19867.61222,25.0,90.0
155.429,0.03647,1000.92562,0.00188,0.00188,20068.31162,25.0,90.0
156.601,0.03657,1010.92907,0.00189,0.00189,20268.87824,25.0,90.0
157.765,0.03667,1020.94426,0.00191,0.00191,20469.68166,25.0,90.0
158.953,0.03677,1030.95989,0.00193,0.00193,20670.49172,25.0,90.0
