Time,Strain(%),Stress(MPa),Temp(C),SR(%/s),Si(%),Fe(%),Cu(%),Mn(%),Mg(%),Cr(%),Zn(%),Ti(%)
0.0,0.0001133255298859,43.0952502605584,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
0.6016765149359999,0.0001634652394639,45.7722837227496,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
1.2088343163312,0.0002140617229135,48.4975578711888,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
1.8658600583472,0.0002688138680815,51.2989832067601,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
2.569185393036,0.0003274243126389,54.0730620068567,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
3.2368834182816,0.0003830658147427,57.0006189030463,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
3.8026821481464,0.0004302157088981,59.9503809353551,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
4.4532001595736,0.0004844255431837,62.7810044521501,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
5.1506095189452,0.000542542989798,65.7302293827934,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
5.8007849424504,0.0005967242750901,68.578560405662,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
6.444032341338,0.0006503282249974,71.5018912696109,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
7.049257065733199,0.000700763618697,74.3961957480256,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
7.6956753377076,0.0007546318080282,77.1506554174012,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
8.270155554613199,0.000802505159437,79.9853239432246,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
8.892274117782,0.0008543483730344,82.8505526861792,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
9.5050562663808,0.0009054135520843,85.6244821925148,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
10.15039922586,0.0009591921320409,88.5113635067363,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
10.7760991503084,0.0010113337924116,91.2175634364466,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
11.41905430809,0.0010649133888934,93.945786250827,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
12.0117855363228,0.0011143076579128,96.6234322567689,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
12.7399745477952,0.0011749900755355,99.2642195369072,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
13.4060881301268,0.0012304995407298,101.915575401272,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
14.0685799678896,0.0012857071938767,104.579901871682,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
14.7478105916892,0.00134230974586,107.176572648636,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
15.3880992971772,0.001395667137984,109.866966556093,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
16.0459581340812,0.001450488707726,112.524715881285,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
16.658456291320803,0.0015015302208293,115.2973993886,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
17.281659719080803,0.0015534638398093,117.977219688657,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
17.957980091490004,0.0016098238708434,120.614650370762,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
18.5895947000028,0.0016624584215528,123.260306035254,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
19.1910102945156,0.0017125763877622,125.854165441099,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
19.802236938030003,0.0017635119413884,128.397429599207,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
20.402096210821203,0.001813500214121,130.930248721116,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
21.0469331300208,0.0018672366240543,133.418266818263,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
21.653485174200004,0.0019177826277359,135.891646773166,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
22.2097014429096,0.0019641339834617,138.369673336942,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
22.7314684391628,0.0020076145664828,140.765695472257,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
23.326440927667203,0.0020571956071915,143.222731673376,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
23.895117825427203,0.0021045853486715,145.645171702645,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
24.488825649616803,0.0021540610006873,148.066934375051,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
25.0322878854204,0.0021993495203376,150.490849028603,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
25.6324555325112,0.0022493634909285,152.899960168845,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
26.218724399904,0.0022982192298779,155.263966374444,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
26.80933402970641,0.0023474366990281,157.666788375256,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
27.326144462964,0.0023905042351329,160.028096270519,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
27.896507847211204,0.0024380345171535,162.422340170856,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
28.3984862289852,0.002479866048968,164.783378814562,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
29.030800594629603,0.0025325589127717,167.071990206461,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
29.579203404228004,0.0025782591469049,169.392380620088,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
30.1720819987992,0.0026276656964525,171.72218154808,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
30.80805414493441,0.0026806633752971,174.036890185388,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
31.451316737541607,0.0027342685913477,176.304083740973,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
32.0506520880204,0.0027842132038876,178.54042719979,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
32.717636160822,0.0028397952099544,180.801259606625,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
33.2759255002812,0.002886319321576,183.075397471507,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
33.8278277104632,0.0029323111724245,185.321461952406,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
34.3709075620284,0.0029775678267216,187.591288517068,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
34.955599925262,0.0030262921903244,189.831923608569,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
35.546952362994,0.0030755715601354,192.087123431544,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
36.0991304349648,0.0031215863994663,194.408629115703,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
36.613979385054,0.0031644904786404,196.617389603456,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
37.1786011380336,0.0032115422913887,198.835006182619,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
37.7448315020268,0.0032587281550548,201.03009263105,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
38.3551532117328,0.0033095882975303,203.161600565409,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
38.8604486293428,0.0033516962489978,205.311680149183,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
39.367256627298,0.0033939302488274,207.399056605317,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
39.9018641249208,0.0034384808736293,209.468116775071,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
40.4784676956444,0.0034865311711896,211.588106398952,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
41.0223717669564,0.0035318565104656,213.64916788108,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
41.5760162930448,0.0035779935543063,215.680704770173,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
42.1080079642836,0.0036223261935762,217.677681421218,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
42.6682098165132,0.003669009681262,219.566023816008,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
43.2463013650908,0.0037171839769768,221.460348464234,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
43.8613969332648,0.0037684419409913,223.222911487442,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
44.4092230963584,0.0038140941212491,225.005997607929,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
45.053149368,0.0038677546438859,226.695410262772,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
45.6719861806596,0.0039193243782742,228.376753811077,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
46.306116989958,0.0039721686123824,230.084498530419,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
46.9304275670196,0.0040241944938042,231.850081252598,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
47.5633205249196,0.0040769355736292,233.506803108828,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
48.1976194350084,0.0041297938161366,235.13752782095,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
48.897963345648,0.0041881558086899,236.725741713338,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
49.5553110676968,0.0042429347855273,238.306501215975,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
50.2658732817996,0.0043021483033692,239.802000738215,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
51.0036830599728,0.0043636324515503,241.267992547804,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
51.8288692744692,0.004432397969425,242.676755119117,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
52.6832442414084,0.0045035958833366,244.058621744657,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
53.59720618837321,0.004579759378917,245.406890329729,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
54.62455630016281,0.0046653718882328,246.698710110801,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
55.792279432206,0.0047626821492364,247.973924381926,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
57.1565400135036,0.0048763705310112,249.133559142701,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
58.593172531086,0.0049960899074764,250.023752268319,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
60.2107411070304,0.0051308872888051,250.799857246534,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
61.9740914792172,0.005277833153154,251.523454879966,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
63.92500518161879,0.0054404092950208,252.112285392865,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
65.9442042231156,0.0056086758818122,252.536948370091,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
68.034590978148,0.0057828747780649,252.749761894418,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
70.16433630557282,0.0059603535553503,252.936662928499,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
72.42240066266162,0.0061485255851077,253.127384708161,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
74.75765586697801,0.0063431301854674,253.267088002272,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
77.09801695226041,0.0065381602759076,253.481259972276,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
79.5070313160012,0.006738911472886,253.567307709131,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
81.95632801880761,0.0069430195314532,253.639080106003,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
84.4460918053584,0.0071504998469991,253.734576180618,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
86.9975999049528,0.0073631255219653,253.844811112898,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
89.5592754795264,0.0075765984865131,253.971724650962,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
92.0610612760812,0.007785080636226,254.080213975271,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
94.6633642755972,0.008001939219519,253.99923484112,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
97.19326881609962,0.0082127645978942,253.953082409424,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
99.7406960525556,0.0084250502009322,253.922989804098,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
102.260171718648,0.0086350065064399,253.932967716636,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
104.8017073887456,0.0088468011456147,253.900578025006,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
107.3150301394944,0.0090562447081771,253.898211133908,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
109.8478881880356,0.0092673162122222,253.859292875399,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
112.3687852557696,0.0094773909678667,253.845874655763,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
114.922264406166,0.0096901808970664,253.884205675349,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
117.48237260388962,0.0099035232468767,253.932757483433,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
120.01028004726602,0.0101141822004914,254.040213230706,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
122.55876899569802,0.0103265562795274,254.127978625269,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
125.08218995035082,0.0105368413590818,254.126598953141,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
127.59872612849522,0.0107465527072605,254.136993096244,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
130.1534875750392,0.0109594494944725,254.220608042371,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
132.6549776494548,0.0111679070006738,254.284193107039,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
135.1343209170492,0.01137451893964,254.331295107522,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
137.6737804371384,0.0115861405663141,254.296969116281,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
140.209325431404,0.0117974359825029,254.272306671938,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
142.7688142720572,0.012010726719224,254.390309603772,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
145.3552506813492,0.012226263086665,254.465449526837,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
147.857158649058,0.0124347554173074,254.472252966818,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
150.4249648438356,0.0126487392668722,254.56493423756,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
152.9814759526392,0.0128617818592725,254.634566998641,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
155.57431440072477,0.0130778517299463,254.69301567138,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
158.0799403576068,0.0132866538930198,254.794587691856,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
160.5460141838976,0.0134921600452107,254.856727169018,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
163.0659362345076,0.0137021535494282,254.940480339028,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
165.56312743845,0.0139102528164234,255.034425402477,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
168.0322925655492,0.014116016577015,255.061813304339,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
170.4698084449332,0.014319142900297,255.120065506425,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
172.89331568533922,0.0145211018369975,255.196573086943,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
175.3845523824816,0.0147287048950927,255.211016931569,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
177.8988727863936,0.0149382315954187,255.174806179425,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
180.3472694745924,0.0151422646527686,255.14827240605,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
182.8389964258416,0.0153499085653727,255.165127011874,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
185.3296646879436,0.0155574642538812,255.233259056513,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
187.8651372890952,0.0157687536373105,255.220395102365,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
190.31689346841603,0.0159730666522539,255.212628661725,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
192.738990383514,0.0161749080618454,255.241391417247,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
195.164560505556,0.0163770389053489,255.281032934034,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
197.589803027358,0.0165791424488324,255.368593575219,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
200.0038475652684,0.0167803128269916,255.390180246856,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
202.4058186628428,0.0169804770851228,255.335464406286,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
204.7960167147312,0.0171796602561135,255.329278344269,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
207.1725502242672,0.0173777047152415,255.405054698717,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
209.4999551291796,0.0175716551239842,255.456938729058,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
211.8439030548288,0.0177669841177883,255.535580182102,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
214.1162367309636,0.0179563452574662,255.571836678195,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
216.4034698807188,0.0181469480199458,255.709940713478,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
218.7042115957572,0.018338676496199,255.811059042167,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
221.0049727128912,0.0185304065892935,255.912833942171,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
223.3855676893512,0.0187287895039985,255.924959017389,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
225.7328295871152,0.0189243946621455,255.964764362072,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
228.0560774057052,0.019117998647028,256.003406960147,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
230.452170595974,0.0193176730795504,256.046743029054,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
232.7805427966512,0.0195117040962735,256.055493066939,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
235.0400429650848,0.0196999957769763,256.187834262272,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
237.349917220416,0.0198924852982539,256.344535078585,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
239.627296196514,0.0200822668795954,256.406986134236,100.0,8.333333333333333e-05,0.68,0.23,0.2,0.04,0.87,0.05,0.02,0.02
