Time,Strain(%),Stress(MPa),Temp(C),SR(%/s),Si(%),Fe(%),Cu(%),Mn(%),Mg(%),Cr(%),Zn(%),Ti(%)
0.0,9.0298004880001e-05,4.287924626148458,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
0.2366287857557939,0.00011001707035965049,5.241153708316474,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
0.4732575715115878,0.0001297361358393,6.194382790484491,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
0.5873392147019879,0.0001392429394385,7.25506910213524,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
0.701420857892388,0.0001487497430377,8.315755413785979,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
0.8605232444321881,0.00016200827524935,9.37840613711764,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.0196256309719882,0.000175266807461,10.4410568604493,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.121476811555988,0.000183754405843,11.544458015323599,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.223327992139988,0.000192242004225,12.6478591701979,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.302519160055988,0.000198841268218,13.808979257035194,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.381710327971988,0.000205440532211,14.970099343872503,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.4723115687791881,0.0002129906356116,16.106567244107204,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.5629128095863882,0.0002205407390122,17.243035144341874,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.6610768760851882,0.00022872107788710002,18.35087193556488,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.759240942583988,0.000236901416762,19.45870872678784,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.8020290480115881,0.0002404670922143,20.617487884608444,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.844817153439188,0.0002440327676666,21.77626704242912,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
1.962627135875388,0.00025385026620295,22.955752707587816,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
2.080437118311588,0.0002636677647393,24.1352383727465,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
2.2143857387411883,0.0002748301497751,25.396347880766847,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
2.348334359170788,0.0002859925348109,26.657457388787194,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
2.5497013895297886,0.00030277312067415003,27.95484693961025,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
2.7510684198887887,0.0003195537065374,29.25223649043329,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
2.9916450240545887,0.00033960175688455,30.56379840796689,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
3.2322216282203886,0.0003596498072317,31.875360325500477,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
3.4284907208825883,0.00037600556495355,33.17953903992733,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
3.624759813544788,0.0003923613226754,34.483717754354245,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
3.831777137436588,0.00040961276633305003,35.78466024667555,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
4.038794461328388,0.0004268642099907,37.08560273899681,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
4.209162345413988,0.00044106153366450004,38.37334262710612,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
4.379530229499588,0.0004552588573383,39.66108251521535,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
4.595747490094789,0.0004732769623879,40.97300195740655,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
4.811964750689989,0.0004912950674375,42.28492139959782,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
5.085712510301988,0.0005141073807385,43.589656803643464,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
5.359460269913988,0.0005369196940395,44.89439220768911,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
5.628014569707588,0.0005592992190222999,46.188324074311204,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
5.896568869501189,0.0005816787440051,47.4822559409333,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
6.133679635058988,0.00060143797446825,48.782927412263454,200.0,8.333333333333333e-05,0.67,0.28,0.23,0.05,0.9,0.05,0.03,0.02
