MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Operator Information						Time:	14.632568	Sec	10/13/2021 9:59:12 AM
Operator	Jake Benzing
Project	AM Bench 2022 mini-tensile challenge
Specimen ID	O-X.20-2
Material	PBF-L Inconel 625
Specimen Width	2.55	mm
Specimen Thickness	1.53	mm
Notes	
Operator Information End

Data Acquisition						Time:	1015.6262	Sec	10/13/2021 10:15:53 AM
Time	Axial Displacement	Axial Extensometer	Axial Force
Sec	mm	mm	N
14.746094	-0.0013859385	0.0025297664	55.229969
14.846191	-8.329298e-05	0.0024855591	55.734203
14.946289	-0.0019975381	0.0024870262	57.275421
15.046387	0.0010370509	0.0024348118	58.520966
15.146484	0.00083933107	0.0024530592	61.261848
15.246582	0.0019303755	0.0025033231	62.075462
15.34668	0.0004002497	0.0024735483	58.91626
15.446777	0.0030849359	0.0025693586	63.066662
15.546875	-0.00029386967	0.0024316604	63.880428
15.646973	0.0038971237	0.0024216741	65.965675
15.74707	0.0030326887	0.0024614558	66.920563
15.847168	0.0029593378	0.0024476585	67.233414
15.947266	0.001095035	0.0025482506	66.370644
16.047363	0.00061354123	0.0025658875	67.839699
16.147461	0.0027075268	0.002531213	71.149513
16.247559	0.0034975864	0.0025156657	70.141235
16.347656	0.0054288888	0.0025082652	74.977165
16.447754	0.0054114731	0.0025833689	75.569489
16.547852	0.0055016251	0.0025966826	76.007339
16.647949	0.0051932642	0.0025949206	78.713188
16.748047	0.0043554651	0.0026895904	77.310471
16.848145	0.0031627945	0.0025693749	76.39518
16.948242	0.0071763527	0.0026639311	81.070374
17.04834	0.003272821	0.0025601343	78.034798
17.148438	0.0076232199	0.0026014843	84.334
17.248535	0.0072841253	0.0026510269	85.09745
17.348633	0.0059417309	0.0026228873	87.194977
17.44873	0.00667396	0.0026738918	89.79351
17.548828	0.0077361148	0.0025903352	88.446648
17.648926	0.0078043435	0.0026775224	92.117554
17.749023	0.0093078334	0.0026975854	94.176659
17.849121	0.0084186066	0.0025546513	92.938377
17.949219	0.0098901335	0.0027526109	97.993027
18.049316	0.0095971394	0.0027411289	96.736588
18.149414	0.008917721	0.0027015684	97.673164
18.249512	0.010080836	0.0027166607	98.102783
18.349609	0.0090408605	0.0027253358	101.43194
18.449707	0.0081713032	0.002723414	100.93618
18.549805	0.0081383158	0.0027456814	99.264687
18.649902	0.011945753	0.0027762882	102.14265
18.75	0.011546216	0.0027653961	103.11082
18.850098	0.010843235	0.0027303637	105.48519
18.950195	0.011525522	0.0026709987	106.4966
19.050293	0.011450737	0.0026995565	110.61866
19.150391	0.013307817	0.0026406595	109.7927
19.250488	0.011925674	0.0027520291	108.95674
19.350586	0.012932098	0.0027353468	112.97061
19.450684	0.016244315	0.0028004735	113.32731
19.550781	0.015476588	0.0026669798	111.28732
19.650879	0.015136264	0.00269879	111.82485
19.750977	0.013291016	0.0026572517	114.83241
19.851074	0.01293845	0.0026398974	113.88521
19.951172	0.015240759	0.0028247724	118.1814
20.05127	0.012923493	0.0028375371	116.69062
20.151367	0.013496727	0.0027602124	117.33393
20.251465	0.016157646	0.0028384181	118.31802
20.351563	0.014808644	0.0027830617	121.50836
20.45166	0.015682913	0.0029381653	123.42027
